	nom_gene	logFC_ActVsCs	PValue_ActVsCs	logFC_RepVsCs	PValue_RepVsCs	logFC_RNAiVsCs	PValue_RNAiVsCs	logFC_ActVsRep	PValue_ActVsRep	logFC_ActVsRNAi	PValue_ActVsRNAi
FBgn0001234	lncRNA:Hsromega	0.566617135564826	0.00142360700337912	0.103060690106805	0.560737090445982	0.0114983942149666	0.948236366107587	0.463556445458021	0.00900784969663377	0.55511874134986	0.00177659750350675
FBgn0001248	Idh	1.30984580414434	1.50891795043482e-17	0.19349049766966	0.210872707655702	-0.454546429390311	0.0034866683979	1.11635530647467	4.28232679055275e-13	1.76439223353465	2.2995056497665e-29
FBgn0001316	klar	0.397604702507697	0.00115955855616507	-0.250345549499275	0.0412073874610902	0.181777604242026	0.137147678647169	0.647950252006972	1.37733434546764e-07	0.21582709826567	0.0774858523155783
FBgn0002413	dco	0.508125643176217	0.00076600574361894	-0.331580810774471	0.0299054339974264	0.277940106817092	0.0656361877117423	0.839706453950688	4.1002646130073e-08	0.230185536359125	0.126316101813593
FBgn0002466	sti	0.717064458898451	0.000124970106338807	0.21768307297051	0.251381297041087	0.664617973160171	0.000374622769750111	0.499381385927941	0.00790376591909322	0.0524464857382798	0.775971801200945
FBgn0002567	Rab32	0.766619825086775	0.00278250619167012	0.0648862879187447	0.802771230736515	-1.15843639951479	1.46847394324814e-05	0.701733537168031	0.00669650783311895	1.92505622460156	8.84938657854868e-13
FBgn0002905	DNApol-theta	0.513343758913695	0.0042405005364715	-0.031530352806772	0.863209821319652	0.509807607696907	0.00446454515754388	0.544874111720467	0.00277693948418487	0.00353615121678825	0.984137836133123
FBgn0003028	ovo	8.95190874744669	1.90156791144921e-33	8.9582053908088	1.77981806943348e-33	3.28096848560439	2.35612424992834e-08	-0.00629664336210556	0.99035221579062	5.67094026184231	6.11684748009633e-19
FBgn0003218	rdgB	2.53219592545964	3.12577644861226e-10	-1.05089825657712	0.0096912856669648	-1.31487398473994	0.00116566748555621	3.58309418203676	7.19055403467924e-17	3.84706991019958	5.23452214466566e-19
FBgn0003285	rst	1.23072725397481	0.000210247660071785	-3.06545792953851	5.84679405677839e-16	-2.23790205336225	3.14938996662778e-10	4.29618518351332	5.67504545194876e-28	3.46862930733706	4.83343018239465e-21
FBgn0003391	shg	0.414919524604296	0.000429809424881359	-0.0712998182808421	0.545272763328883	0.131791044195392	0.262881001736018	0.486219342885138	3.83382988669436e-05	0.283128480408904	0.0161831827798144
FBgn0003435	sm	1.06960766376406	2.31004145807138e-05	0.0796086487515319	0.752856413016103	-0.654918566118659	0.0100956633486902	0.989999015012529	9.47625126798066e-05	1.72452622988272	2.54788972205476e-11
FBgn0003475	spir	0.581343680550659	3.17674633960332e-05	-0.181162598105145	0.19980538398664	-0.43874067147949	0.00187360625353145	0.762506278655804	6.95406074703e-08	1.02008435203015	5.7185811841276e-13
FBgn0003483	spn-E	1.38296661609083	1.43381156349718e-06	0.826569055082853	0.00448121743569232	1.40512826031106	9.41338337187809e-07	0.556397561007979	0.0482428789379062	-0.022161644220228	0.935702767345249
FBgn0003525	stg	2.91228914238702	5.44649939109855e-21	-1.25763956275792	0.000181880667575933	-0.460911982672772	0.142374709943235	4.16992870514494	3.26221269990053e-34	3.37320112505979	5.35014601026304e-26
FBgn0003638	su(w[a])	0.544339500662013	2.29162177569246e-05	0.205655864629759	0.110779420194086	-0.0726351938422447	0.572646190867843	0.338683636032254	0.00852301850850938	0.616974694504258	1.68899787979675e-06
FBgn0003731	Egfr	0.400806721040885	0.000913948401337622	-0.218724797087217	0.0704749990159996	-0.747070666915438	7.92185961362792e-10	0.619531518128101	3.25489606426326e-07	1.14787738795632	6.6450534842528e-21
FBgn0003996	w	0.975143547421469	5.89841060166934e-13	0.544874206517756	5.20919680357416e-05	0.37501461051697	0.00527345818084017	0.430269340903713	0.00136707206052524	0.6001289369045	8.22346278829301e-06
FBgn0004055	uzip	1.23683371262926	2.12710415183332e-06	-0.79158728549101	0.00506931460770135	2.9500124408374	3.49329730927273e-28	2.02842099812027	3.73644849736081e-13	-1.71317872820814	1.27722715231737e-11
FBgn0004359	T48	1.60647031307207	0.000482396718027075	-0.386981787648846	0.421650310197246	0.300006951581378	0.516686432729304	1.99345210072092	3.09335039821391e-05	1.30646336149069	0.00413602840747939
FBgn0004379	Klp67A	1.08441648597104	3.08165711436936e-05	-0.314306495376769	0.258835554674537	0.709422084320485	0.00671780137542325	1.39872298134781	2.75540807353874e-07	0.374994401650555	0.13954935313749
FBgn0004865	Eip78C	0.914134700839811	0.000373623413703574	-2.84629938356294	7.03826679644096e-22	0.180321809606558	0.482411555637725	3.76043408440275	1.12157783420686e-35	0.733812891233253	0.00418081677445397
FBgn0004872	piwi	4.68226884504886	3.66358353559599e-109	-0.684287901279913	0.00246478784142001	-0.430776477560332	0.0443200431810165	5.36655674632877	1.21066527337606e-124	5.11304532260919	1.41575460581084e-121
FBgn0005427	ewg	0.830098984483612	5.10991051452552e-09	-0.389919497031886	0.00697596910588944	-0.421463107099444	0.00331689414229326	1.2200184815155	4.04949311407675e-17	1.25156209158306	3.87963096801422e-18
FBgn0005655	PCNA	1.62134291027173	6.59767616982865e-07	-0.344175848695234	0.308562113645874	0.512132830893283	0.115942197426896	1.96551875896696	5.45862952409077e-09	1.10921007937845	0.000533778604867447
FBgn0010051	Itpr	1.2715912775526	2.87476526140762e-20	-0.312655444369614	0.0250910600709704	-0.934914788544332	3.31225257270635e-11	1.58424672192222	2.08240485114341e-29	2.20650606609693	2.61017762043603e-53
FBgn0010263	Rbp9	1.47465131659489	2.23931487273187e-05	0.342714920070278	0.333016589043114	-0.765880560276796	0.035211589394791	1.13193639652461	0.00116488758455655	2.24053187687168	7.54829357178256e-10
FBgn0010313	corto	0.684034561759065	0.000101912686955123	0.244750484325833	0.163617675138009	-0.735492699636082	3.2160409850741e-05	0.439284077433232	0.012428367713126	1.41952726139515	2.23971525699517e-15
FBgn0010342	Map60	0.692401055644087	0.00329559577602839	0.013619674103439	0.955069043113066	0.940832344644637	6.20076548552984e-05	0.678781381540648	0.00459446930865038	-0.24843128900055	0.281894288559762
FBgn0010382	CycE	1.1919495182403	0.000574518557074472	0.426786891074253	0.227034557599204	-1.5202113272079	7.2850106641683e-05	0.765162627166052	0.0272637773501902	2.71216084544821	1.27361632123143e-12
FBgn0010905	Spn	0.698595918478575	1.20110428859433e-05	-0.341093389885427	0.0333866650454875	-1.68801677061883	2.21688373541133e-24	1.039689308364	1.17116073576906e-10	2.38661268909741	2.37784920827702e-45
FBgn0011202	dia	1.19441716542182	1.19719398144075e-14	-0.220970602129011	0.157375312527506	0.21462459309524	0.164153818152594	1.41538776755083	2.21554890465379e-19	0.979792572326576	2.032635733566e-10
FBgn0011606	Klp3A	0.682719447765765	0.00030605730234375	-0.0348296731952261	0.85756907007386	0.526477207066998	0.00541701604311833	0.717549120960991	0.000192052203875343	0.156242240698767	0.403139624547536
FBgn0011703	RnrL	1.29648649666477	8.38221340914019e-10	-0.474626081890362	0.033006955447983	0.472414521908119	0.025969125847912	1.77111257855513	1.05143250893729e-15	0.824071974756649	7.4964065827191e-05
FBgn0011704	RnrS	0.808383247702718	6.07543071689258e-06	-0.443986370433873	0.0167501147755395	0.0452427841731895	0.801889500252877	1.25236961813659	1.27813056431241e-11	0.763140463529529	2.01576607162231e-05
FBgn0011742	Arp2	1.39684527777399	4.53788905406994e-23	-0.372813558957211	0.00928068374985834	-1.18980489094419	3.74857372977076e-16	1.76965883673121	2.16316625850425e-34	2.58665016871818	3.52469245536855e-67
FBgn0011763	Dp	0.400063104203834	0.0043766486803585	-0.13841294065203	0.332012738763453	0.115032550160884	0.413858461795633	0.538476044855864	0.000157138702356992	0.28503055404295	0.0423214958096177
FBgn0013765	cnn	0.491880441998698	0.000488900265807009	-0.016878699498893	0.906397685809846	-0.238491843420731	0.0951509690865701	0.508759141497591	0.000374069867881263	0.730372285419429	3.01554404182105e-07
FBgn0013810	Dhc36C	3.85869731408745	3.05841432793116e-12	-0.686255141636721	0.341830285367261	0.225313131765065	0.719964546702392	4.54495245572417	1.77522130547562e-13	3.63338418232238	3.55783409997055e-11
FBgn0013995	Calx	0.949599869264993	1.11141069007841e-08	-0.615753385935451	0.000246352106419363	-3.46212086731677	1.8881740242664e-73	1.56535325520044	3.66075754244026e-20	4.41172073658176	2.81474335057692e-111
FBgn0014127	barr	0.510791119948018	0.00316466717704196	-0.0589279981690188	0.739168862677465	0.0461044390017954	0.791552413549321	0.569719118117037	0.00121411435224176	0.464686680946223	0.00739157358043544
FBgn0014141	cher	1.0565162243529	2.72216527154514e-09	-2.34622421576422	2.37246646254116e-36	-0.663981663103996	0.000174509218996801	3.40274044011712	9.74296233953005e-69	1.7204978874569	1.84495397317497e-21
FBgn0014861	Mcm2	1.23659790315527	7.9338092749018e-07	-0.150167655497904	0.560671378531157	0.612049730439188	0.0146415597305093	1.38676555865317	6.0503698432662e-08	0.624548172716083	0.0111280712178029
FBgn0015569	alpha-Est10	1.17859006793674	2.63439640956824e-09	-0.75887529554899	0.000337713496639468	-2.37181375075203	2.19786940791912e-24	1.93746536348573	3.45994571795903e-20	3.55040381868877	1.3909186115097e-52
FBgn0015614	CanB2	0.68841031519055	0.000457952381975701	-0.113421894891839	0.569747708545535	-0.379004388322882	0.0570657861438121	0.801832210082389	5.66790527342352e-05	1.06741470351343	8.56249371564638e-08
FBgn0015799	Rbf	0.624584176108277	0.00100912356420618	0.18668573988342	0.33136596721279	0.413848024812693	0.029448468569466	0.437898436224857	0.0218872294534805	0.210736151295584	0.263683396049271
FBgn0015801	Reg-5	2.57795804156839	2.35089569954829e-62	0.0480756340919908	0.752258192539057	0.358008154583952	0.0171187957479936	2.5298824074764	2.56896810118837e-59	2.21994988698444	4.69363266324939e-48
FBgn0015929	dpa	1.55350660376986	6.69018174060446e-08	-0.441458471981848	0.140557289215079	0.421033525606949	0.143809932200726	1.99496507575171	2.4870257118397e-11	1.13247307816291	6.55757663277826e-05
FBgn0016070	smg	0.711055453301622	2.58109120641959e-07	-0.0895822426204866	0.524251167036792	-0.419486637143756	0.00281469755839406	0.800637695922108	1.11486795765692e-08	1.13054209044538	8.01180914611692e-16
FBgn0016797	fz2	0.537634540479734	0.000111929965246525	-0.152705277771724	0.273785860614601	-0.0301392568985181	0.828419771085099	0.690339818251458	8.09129014703862e-07	0.567773797378252	4.58877144771983e-05
FBgn0016930	Dyrk2	1.18489124845713	4.93485679358425e-19	-2.05819655249982	4.37568074559495e-49	-1.09372904041516	3.35506900621093e-16	3.24308780095695	1.95041252232081e-110	2.27862028887229	3.36572323849461e-61
FBgn0017577	Mcm5	1.50086148253992	1.04703089551489e-07	-0.462247619795584	0.135108704434441	0.695548059230379	0.0149173725699096	1.9631091023355	5.6453531445949e-11	0.805313423309538	0.0032930408451312
FBgn0019686	lok	0.934227875373977	9.36564357258665e-10	-0.181918439747487	0.246780302873231	0.0659486281238439	0.668674917958266	1.11614631512146	8.55677159435111e-13	0.868279247250133	1.31926267199258e-08
FBgn0020312	Tmtc3	0.677986793743202	0.0006802530538631	0.493697799276777	0.0148068093362202	0.756080296719871	0.000144215688175349	0.184288994466425	0.355363978086724	-0.0780935029766685	0.689386307802025
FBgn0020445	E23	0.535820378416604	0.000314802912157622	-3.75679450580193	2.74880863982978e-98	0.25283523456617	0.0889031974512102	4.29261488421854	3.03581647845817e-124	0.282985143850434	0.0564513272755016
FBgn0020633	Mcm7	1.98542094163637	2.12415777194838e-13	-0.541573648758576	0.0678830997337349	0.456889663786473	0.0968936883102522	2.52699459039495	1.76672373222309e-18	1.5285312778499	8.06237747148246e-09
FBgn0021760	chb	0.605617634944355	2.4461783142492e-06	-0.0358658015429699	0.783161740847809	0.348594346456166	0.0067158184071818	0.641483436487325	8.01087397651433e-07	0.257023288488189	0.0443745147891939
FBgn0021761	Nup154	0.483339671182095	0.00264999910945183	0.145566913657452	0.370744666899842	0.679362752872795	2.31431157313773e-05	0.337772757524642	0.0369840101686376	-0.1960230816907	0.218293883459231
FBgn0022710	Ac13E	0.651395075400174	0.000489015238408113	-1.35969622937323	5.14474299212581e-12	-0.536140302353396	0.00459259429688894	2.01109130477341	4.81080808996206e-24	1.18753537775357	4.07936752946435e-10
FBgn0022772	NA	1.22353625452054	0.000277051461840275	-0.0852104543273872	0.807078737111153	0.248083673871354	0.465666186428451	1.30874670884793	0.000145044994258602	0.975452580649187	0.00354189683183221
FBgn0022787	Hel89B	0.504426276595251	0.000852699563683219	-0.0455141563410358	0.764621286078265	0.0734431499289199	0.627417066492622	0.549940432936286	0.000299077536789346	0.430983126666331	0.00437647625606337
FBgn0023523	Or2a	3.41238463624006	2.2813089408263e-11	4.39318952349544	4.97375185388532e-18	-0.464769898185712	0.498747868328834	-0.980804887255372	0.014168969396805	3.87715453442578	1.25801271768275e-12
FBgn0023528	CG2924	0.850312055765595	3.2160021574082e-06	-0.644240517125657	0.000516480807406042	-0.1654702285132	0.365400652053808	1.49455257289125	1.51376627705956e-15	1.0157822842788	3.14812176840344e-08
FBgn0023537	CG17896	0.744807895193731	9.34052466739822e-06	-1.14124210668767	4.79190228005458e-11	-1.00319337887047	4.76838206463432e-09	1.8860500018814	7.43135600091013e-27	1.7480012740642	7.18638012957521e-24
FBgn0024332	NA	1.19918619441206	4.88230651134783e-05	0.0459367587380928	0.87886247055944	0.225972789872698	0.446605967413637	1.15324943567397	0.00011335330369477	0.973213404539362	0.000918662311523552
FBgn0024920	Ts	2.19383631265354	5.45387567060495e-06	-0.645162911740296	0.232451485108841	-0.376149412433875	0.465067338123302	2.83899922439384	5.06936379092295e-08	2.56998572508742	2.52672538181509e-07
FBgn0025525	bab2	0.848297548988485	0.00374248557332793	0.294609379206056	0.324193231443187	1.16346170422867	6.70158617002204e-05	0.553688169782429	0.0598675141255022	-0.315164155240185	0.268380099734987
FBgn0025625	Sik2	1.01844156445897	7.47323517224238e-06	-0.30716119092918	0.189676723111646	-0.832824670719669	0.000414594789373281	1.32560275538815	1.39325550008205e-08	1.85126623517863	5.31582930329762e-15
FBgn0025641	DAAM	0.832701283984858	3.07057136745772e-08	-0.274474839708847	0.0698410203593679	-3.46681371131584	1.37907922609681e-87	1.1071761236937	3.57230882713408e-13	4.2995149953007	1.51424733896795e-127
FBgn0025815	Mcm6	1.05617521355522	0.000104389265735381	-0.201122595375097	0.465752580502424	0.0143807685563109	0.957908034796698	1.25729780893032	5.42212619334062e-06	1.04179444499891	0.000131606482621066
FBgn0025864	Crag	0.961619649035745	1.17070598703865e-08	-0.576208477556604	0.000609962935664429	-1.69650345704639	7.55466140426289e-23	1.53782812659235	2.61351287899107e-19	2.65812310608213	2.38297088968079e-50
FBgn0025866	CalpB	0.523605348607362	0.00105401373398021	0.210144771528766	0.189057581368588	-0.916052369536198	1.51226573296767e-08	0.313460577078596	0.049947365381476	1.43965771814356	1.22802213477008e-18
FBgn0025885	Inos	0.741820366340695	2.06703810785139e-05	-1.1520979329835	9.35893324337784e-11	-3.19123383146887	7.04317134881771e-61	1.89391829932419	1.15672860316678e-25	3.93305419780957	9.50719648341757e-87
FBgn0026083	tyf	1.05835124408689	3.51134417674409e-17	-0.027541619101926	0.826058248226569	-0.0776665047785983	0.534276224718928	1.08589286318882	7.43290611078734e-18	1.13601774886549	1.85975377795975e-19
FBgn0026143	Cdc45	1.00266646521601	0.000422055721100108	-0.144036103752568	0.625687527943076	0.104778381492969	0.716349397344296	1.14670256896858	8.48087545438157e-05	0.897888083723042	0.00159334913007627
FBgn0026206	mei-P26	0.798524291560333	1.67066406041969e-06	-0.371019503104747	0.0260404425300183	0.332649418091669	0.0451151988524233	1.16954379466508	3.75760297108393e-12	0.465874873468664	0.00500393377355012
FBgn0026616	alpha-Man-IIb	1.59429012317923	0.00122833273615676	-0.350009121133585	0.497601347354652	-0.258466554522297	0.607241462050164	1.94429924431281	0.000155985257916365	1.85275667770153	0.000221790974393923
FBgn0027279	l(1)G0196	1.93385766057175	5.42565736345559e-45	-0.461901323549048	0.000710838070991628	-0.523630656892402	0.000114130296031283	2.3957589841208	8.88025564201374e-65	2.45748831746416	2.21837158380712e-68
FBgn0027343	fz3	0.956750559166794	0.00101510737526673	0.289410692605771	0.32704230276977	-1.4599640372351	3.81852452563843e-06	0.667339866561023	0.0221575116406835	2.41671459640189	2.27102842258641e-14
FBgn0027500	spd-2	1.03860466777726	0.00137220061756053	0.620037515416025	0.0592273259589486	1.46640941542349	6.16664061289324e-06	0.418567152361236	0.193710113956272	-0.427804747646227	0.173312079855657
FBgn0027588	GCS2alpha	0.859238815826939	7.2419292124109e-08	-0.109596809987848	0.493790433478661	0.0562024783624497	0.72414245881123	0.968835625814786	1.68660314578046e-09	0.803036337464489	4.80209728768408e-07
FBgn0027601	pdgy	2.60874235213089	4.43148532765936e-19	-1.82451530047636	5.88736983191046e-07	2.02504426941862	2.98896267828703e-12	4.43325765260726	8.30465871913411e-37	0.583698082712276	0.0290110383820447
FBgn0027620	Acf	0.59503019700325	0.000163552931650092	-0.0536135742119146	0.736443523103638	0.630083849550124	6.50220377465034e-05	0.648643771215165	4.60775532079788e-05	-0.0350536525468734	0.822915198072571
FBgn0027657	glob1	1.30117202537662	7.9974971072195e-08	-1.16300159980377	1.4813098620091e-05	-2.33428057405154	3.93188162169954e-16	2.46417362518039	2.45281607943358e-20	3.63545259942816	4.43643604162128e-37
FBgn0027948	msps	0.517326000269417	3.89325729340631e-05	-0.188846475878604	0.135799199093813	-0.478451733129598	0.000158620805622092	0.706172476148021	2.5818935751023e-08	0.995777733399015	4.98937904262854e-15
FBgn0028331	l(1)G0289	1.88769318829579	3.27418845479771e-46	-0.648378329340691	1.12606514173697e-06	0.495024531143339	0.000136467448846014	2.53607151763648	3.3502618489182e-76	1.39266865715245	9.93556636567238e-27
FBgn0028369	kirre	0.965066412996044	0.000146065966576949	1.09694321062146	1.67465663586433e-05	0.39165578138858	0.120683527386392	-0.131876797625413	0.600409438144933	0.573410631607464	0.0232008674439811
FBgn0028525	c(2)M	3.70405597616777	5.56058047776182e-08	0.82003565431638	0.25020169431513	0.44242838199015	0.538453377612268	2.88402032185139	1.17935766390763e-05	3.26162759417762	1.02273665242377e-06
FBgn0028737	eEF1beta	0.63044760337843	0.000813633197065372	0.240102387696742	0.202662762763889	0.385248398054603	0.0404591717619757	0.390345215681688	0.0381187636017799	0.245199205323826	0.190937598915829
FBgn0028743	Dhit	1.67902708670988	5.31719916858373e-21	-0.778194863753959	6.65695555043392e-05	1.25868460247767	1.64393776507447e-12	2.45722195046384	2.58762342081503e-37	0.42034248423221	0.0139104881397319
FBgn0029737	CG6903	0.932768461083151	2.9167039004209e-06	0.093879417160096	0.640567705409978	-0.691659213999784	0.000667072552129157	0.838889043923055	2.88094171796558e-05	1.62442767508294	2.19010481325213e-15
FBgn0029799	CG15772	1.63474905813799	7.28172572761567e-08	-0.116425888945529	0.724051924742973	1.54184159463291	3.7026449565981e-07	1.75117494708351	3.1359581082845e-08	0.0929074635050745	0.74462714735802
FBgn0029939	CG9650	0.959717332905327	0.000168908147646819	0.467272182827095	0.0689425565728981	-0.494981342493103	0.056719105199083	0.492445150078232	0.0529580579555532	1.45469867539843	2.37439096396171e-08
FBgn0029975	spidey	0.792514229030217	3.21904239111814e-06	-1.8720522688996	2.52031874167206e-21	-0.160225164229859	0.355612266766072	2.66456649792982	7.76452201808712e-42	0.952739393260076	3.0515918338935e-08
FBgn0030038	CG1440	0.814930435814346	2.08771271327731e-08	-0.0384619928859624	0.798034770865618	0.0459444107361019	0.755570863070386	0.853392428700308	9.17815175625763e-09	0.768986025078244	1.33270812627235e-07
FBgn0030054	Caf1-180	1.05083917159717	9.45486973445535e-07	-0.234074769212892	0.283349081781819	0.340986003878424	0.111698928007509	1.28491394081006	3.93555584190194e-09	0.709853167718749	0.000847368759786216
FBgn0030114	CG17754	1.14754862839587	9.59404954831411e-17	-0.617865004507676	1.51930742281105e-05	0.0290998634231853	0.833794012502949	1.76541363290354	9.21508051634437e-35	1.11844876497268	6.06794292686534e-16
FBgn0030268	Klp10A	0.420441732785191	0.00353003552619075	-0.0269053802951206	0.853525096316718	0.142854820283797	0.322394516630341	0.447347113080312	0.00211329270230687	0.277586912501394	0.0539290126338799
FBgn0030311	CG11699	1.05682675971291	4.18214908032745e-05	1.34996893441136	1.89762609133631e-07	0.3775528113471	0.145859561537265	-0.293142174698453	0.244074678892653	0.67927394836581	0.00781859267820098
FBgn0030318	rho-4	0.976423135195379	2.67087241850644e-12	-0.384549863418684	0.00748792009053101	-0.811721534581861	1.85307898761834e-08	1.36097299861406	2.72319401553567e-21	1.78814466977724	5.61350444222868e-35
FBgn0030328	Amun	0.576554816263642	3.3240485119261e-06	-0.310187628978387	0.0129628628863515	0.268452132987135	0.030213699694214	0.886742445242029	1.49155372404052e-12	0.308102683276507	0.0127102659772947
FBgn0030484	GstT4	2.49113587707293	6.25593553217362e-06	-3.631090174638	4.91631601785102e-07	-0.729995612311031	0.190779676173901	6.12222605171093	4.6487969004886e-17	3.22113148938396	2.3305886569951e-08
FBgn0030600	hiw	1.02503860671568	2.92131423523097e-05	0.275409109130802	0.264992163745845	-0.584349576129801	0.0191514816069482	0.749629497584878	0.00228555689018256	1.60938818284548	1.48969177660817e-10
FBgn0030603	CG5541	1.78504037175178	5.09650248570852e-28	-1.21405651015716	5.38870380285965e-13	-1.17023436678947	1.735625458984e-12	2.99909688190894	1.90247740886234e-66	2.95527473854125	4.76485639019941e-66
FBgn0031745	rau	0.472014107997636	0.000602968308120593	0.265726605172573	0.0539340705103492	-0.403352814041186	0.00352159182359657	0.206287502825063	0.133952239658207	0.875366922038822	2.8234271875386e-10
FBgn0031816	Rchy1	2.39257582188754	3.37359762872001e-05	-1.56450670464906	0.0193549953547729	-2.09814531942075	0.0019988087817054	3.9570825265366	2.33031653525375e-09	4.49072114130829	3.16058360185448e-11
FBgn0031875	CG3430	1.49365233925629	0.000530098578209151	0.667574160631939	0.123889517456376	0.534982843931349	0.213688772187161	0.82607817862435	0.052281619198122	0.958669495324939	0.0235155418643698
FBgn0031969	pes	1.22980619961936	1.69003276254789e-10	-0.165621976537108	0.398603811989082	-1.87711509416304	3.34327349879658e-19	1.39542817615647	1.14878028941747e-12	3.10692129378241	4.28534411445692e-48
FBgn0032026	CG7627	0.962674449625952	8.35192227268146e-06	-0.551229142877348	0.0118807914343117	-0.977355690929557	9.0681626701819e-06	1.5139035925033	7.92179916837151e-12	1.94003014055551	4.29691415908938e-18
FBgn0032297	CG17124	1.11041436036972	6.52474122890999e-05	-2.7691371217256	1.36208461460246e-16	-2.68002017617466	8.70388372799895e-17	3.87955148209532	1.50769378223126e-30	3.79043453654438	3.93774828599121e-31
FBgn0032450	CG5776	0.777259081574116	0.00316085203216269	0.847027651000068	0.00143333232751024	0.855840729966796	0.00111153357629422	-0.069768569425952	0.788058797836447	-0.0785816483926805	0.759095151990244
FBgn0032482	Pect	0.902256638581668	2.17621968444939e-08	-0.790517844460074	2.02350675231108e-06	-1.95225580873505	2.88588239920905e-29	1.69277448304174	6.00748759770808e-24	2.85451244731672	1.24472067990576e-58
FBgn0032633	Lrch	0.487549691899802	2.71023729537907e-05	-0.581840321016688	6.16442169187258e-07	-0.741341693193078	2.21168659390654e-10	1.06939001291649	9.04215478587272e-20	1.22889138509288	1.78646279037341e-25
FBgn0032908	CG9270	2.09317784742651	4.04916886903449e-06	0.704545600427137	0.13253871941451	-3.65612297568877	8.82642317601522e-08	1.38863224699938	0.00179842119709395	5.74930082311528	2.02125953906623e-19
FBgn0032946	nrv3	1.3937893844171	0.0035889098356849	0.402574400815542	0.397848880126747	-0.0522578727471955	0.912420095603935	0.991214983601559	0.0373813340536956	1.4460472571643	0.00260588378666741
FBgn0032955	CG2201	0.692596565473793	8.80125920792913e-06	-0.679615428007999	2.14720523156602e-05	-0.501637184291345	0.00147038299813828	1.37221199348179	1.41616084704467e-17	1.19423374976514	4.71963905045285e-14
FBgn0033081	geminin	0.634514511564595	0.00126327098724778	-0.0335826965817461	0.868378668639504	0.409992794702477	0.037724606091242	0.668097208146341	0.000877993398332349	0.224521716862118	0.249498135168856
FBgn0033101	CG9436	0.928919235268775	0.000103062116309132	-0.301205401878899	0.226683036359705	-1.21696746287039	2.08535774550485e-06	1.23012463714767	6.45453093873049e-07	2.14588669813917	5.46164059426127e-17
FBgn0033188	Drat	0.813855732876427	0.00132643549951656	-0.975297923092363	0.000171612538159373	-0.609343999621318	0.0171925022924719	1.78915365596879	1.03478907301419e-11	1.42319973249775	3.58794008023829e-08
FBgn0033453	Sting	1.44329043271838	8.02772541136428e-14	-0.432616696995511	0.0332691463437535	-1.1509570898089	2.7955652142997e-08	1.87590712971389	1.37089194936631e-20	2.59424752252729	6.49098279525289e-36
FBgn0033476	oys	0.791302946234985	5.35516190909777e-10	-0.235213404812689	0.0670075078205815	-0.598801275602795	3.25810647154634e-06	1.02651635104767	1.72301297981206e-15	1.39010422183778	9.24743108391001e-27
